Desc	Family ID	Aflo	Amel	Bimp	Bter	Ccal	Dnov	Emex	Hlab	Lalb	Mqua	Mrot
null	ORTHOMCL306	1	1	8	7	1	1	1	1	1	1	1
null	ORTHOMCL307	2	1	2	2	6	2	1	1	2	2	3
null	ORTHOMCL308	2	1	1	2	2	1	5	5	2	1	2
null	ORTHOMCL309	2	2	2	3	2	2	2	2	3	2	2
null	ORTHOMCL310	1	2	2	2	4	2	2	2	2	3	2
null	ORTHOMCL311	2	2	2	2	4	2	2	2	2	2	2
null	ORTHOMCL312	1	1	5	5	2	1	1	1	1	1	5
null	ORTHOMCL313	2	3	3	2	2	2	2	3	2	1	2
null	ORTHOMCL314	1	1	2	2	4	3	1	1	5	2	2
null	ORTHOMCL315	2	2	2	2	2	2	2	2	2	2	4
null	ORTHOMCL316	2	2	2	2	2	2	2	2	1	2	5
null	ORTHOMCL317	1	0	7	5	1	1	2	1	4	1	1
null	ORTHOMCL318	1	1	4	7	4	1	2	1	1	1	1
null	ORTHOMCL319	1	1	3	4	5	1	5	1	1	1	1
null	ORTHOMCL320	2	1	2	3	8	3	1	1	1	1	1
null	ORTHOMCL321	3	1	2	2	3	2	2	2	2	2	3
null	ORTHOMCL322	2	1	4	4	1	1	4	2	1	1	3
null	ORTHOMCL323	1	1	4	4	2	1	3	1	1	1	5
null	ORTHOMCL324	2	1	3	4	2	2	2	3	2	2	1
null	ORTHOMCL325	2	2	2	1	4	2	2	2	2	1	4
null	ORTHOMCL326	1	1	2	1	4	1	3	3	1	1	6
null	ORTHOMCL327	1	1	3	4	2	1	2	1	1	1	7
null	ORTHOMCL328	1	1	5	3	5	1	3	1	1	1	2
null	ORTHOMCL329	1	1	6	6	4	1	1	1	1	1	1
null	ORTHOMCL330	1	1	4	9	1	1	1	3	1	1	1
null	ORTHOMCL331	1	1	4	4	4	1	1	1	1	1	5
null	ORTHOMCL332	0	0	2	9	2	1	2	2	0	2	4
null	ORTHOMCL333	0	0	0	0	24	0	0	0	0	0	0
null	ORTHOMCL334	0	0	0	0	1	1	0	0	22	0	0
null	ORTHOMCL335	3	2	3	2	2	2	2	2	1	2	2
null	ORTHOMCL336	2	2	2	2	3	2	2	2	2	2	2
null	ORTHOMCL337	4	1	3	3	5	1	2	1	1	1	1
null	ORTHOMCL338	1	1	3	3	2	1	3	5	1	1	2
null	ORTHOMCL339	1	2	2	5	2	2	2	2	2	2	1
null	ORTHOMCL340	2	2	3	2	2	2	2	2	1	2	3
null	ORTHOMCL341	5	1	1	1	5	1	1	1	1	1	5
null	ORTHOMCL342	2	1	3	2	2	2	2	2	2	1	4
null	ORTHOMCL343	4	1	3	5	2	2	1	1	1	1	2
null	ORTHOMCL344	3	0	3	2	2	2	3	3	1	2	2
null	ORTHOMCL345	3	2	2	2	2	2	4	1	1	2	2
null	ORTHOMCL346	3	2	2	2	2	3	2	2	1	2	2
null	ORTHOMCL347	1	1	3	3	2	2	6	1	2	1	1
null	ORTHOMCL348	2	2	2	2	2	2	2	2	3	2	2
null	ORTHOMCL349	3	2	2	2	2	2	2	2	2	2	2
null	ORTHOMCL350	2	1	3	3	2	1	1	4	1	2	3
null	ORTHOMCL351	2	2	3	3	2	2	1	2	2	2	2
null	ORTHOMCL352	2	1	2	4	6	2	1	1	1	1	2
null	ORTHOMCL353	2	2	3	2	2	2	3	2	1	1	3
null	ORTHOMCL354	2	1	2	2	2	4	2	1	2	2	3
null	ORTHOMCL355	2	2	2	2	2	2	2	2	2	2	3
null	ORTHOMCL356	3	1	4	4	2	1	3	1	1	1	2
null	ORTHOMCL357	2	2	2	3	1	2	3	2	2	2	2
null	ORTHOMCL358	2	1	4	4	1	1	2	1	1	1	5
null	ORTHOMCL359	2	2	3	2	2	2	2	2	2	3	1
null	ORTHOMCL360	2	2	3	2	3	2	2	2	2	1	2
null	ORTHOMCL361	2	2	2	3	4	2	2	2	1	1	2
null	ORTHOMCL362	3	2	2	1	2	2	4	2	1	2	2
null	ORTHOMCL363	1	1	5	5	2	1	3	1	2	1	1
null	ORTHOMCL364	3	1	3	3	2	1	3	2	1	1	3
null	ORTHOMCL365	3	1	2	2	5	1	3	1	1	1	3
null	ORTHOMCL366	1	0	10	6	1	1	1	0	1	1	1
null	ORTHOMCL367	2	2	2	3	3	2	2	2	1	2	2
null	ORTHOMCL368	2	1	1	3	2	2	2	3	3	3	1
null	ORTHOMCL369	1	1	5	6	4	1	1	1	1	1	1
null	ORTHOMCL370	2	2	2	2	2	2	2	3	2	2	2
null	ORTHOMCL371	2	2	2	2	4	2	2	2	2	1	2
null	ORTHOMCL372	2	2	1	2	3	2	2	2	2	2	3
null	ORTHOMCL373	1	1	5	6	1	1	2	5	1	0	0
null	ORTHOMCL374	2	1	3	1	5	1	5	1	1	1	2
null	ORTHOMCL375	2	2	3	3	2	2	2	2	1	2	2
null	ORTHOMCL376	2	2	4	2	2	2	2	2	1	2	2
null	ORTHOMCL377	1	1	2	4	6	1	0	1	1	1	5
null	ORTHOMCL378	4	1	1	1	6	1	1	5	1	1	1
null	ORTHOMCL379	1	1	6	5	2	3	1	1	1	1	1
null	ORTHOMCL380	2	2	2	2	2	3	1	1	2	2	4
null	ORTHOMCL381	3	2	1	2	2	2	2	2	2	2	3
null	ORTHOMCL382	3	1	3	4	1	1	1	1	1	1	6
null	ORTHOMCL383	1	2	3	3	2	2	3	1	2	2	2
null	ORTHOMCL384	2	2	4	2	2	2	1	2	1	2	3
null	ORTHOMCL385	1	1	4	4	4	1	1	1	1	1	4
null	ORTHOMCL386	2	2	1	2	3	2	2	2	2	2	3
null	ORTHOMCL387	1	1	5	5	1	2	1	3	1	1	2
null	ORTHOMCL388	1	1	4	3	1	2	2	1	2	1	5
null	ORTHOMCL389	3	1	3	3	1	3	1	1	2	2	3
null	ORTHOMCL390	2	2	2	2	2	2	2	2	2	2	3
null	ORTHOMCL391	2	2	2	2	1	2	5	2	1	2	2
null	ORTHOMCL392	2	1	3	2	2	1	1	1	1	1	8
null	ORTHOMCL393	1	1	6	6	1	2	1	2	1	1	1
null	ORTHOMCL394	2	2	2	2	2	3	2	2	2	2	2
null	ORTHOMCL395	1	1	6	1	7	1	1	1	1	1	2
