GOterm	Canon_input	NonCan_input	Hym_Noncan	Solitary_Imm	Social_Imm	Complex_Imm	Solitary_Random	Social_Random	Complex_Random
GO:0032879	0	0	0	0	0	0	0	0	0
GO:0032890	0	0	0	0	0	0	0	0	0
GO:0042745	0	0	0	0	0	0	0	0	0
GO:0043269	0	0	0	0	0	0	0	0	0
GO:0044070	0	0	0	0	0	0	0	0	0
GO:0045475	0	0	0	0	1	0	0	0	0
GO:0045938	0	0	0	0	0	0	0	0	0
GO:0046873	0	0	0	0	0	0	0	0	0
GO:0046928	0	0	0	0	0	0	0	0	0
GO:0048511	0	0	0	0	1	0	0	0	0
GO:0048512	0	0	0	0	1	0	0	0	0
GO:0050433	0	0	0	0	0	0	0	0	0
GO:0050802	0	0	0	0	0	0	0	0	0
GO:0050804	0	0	0	0	0	0	0	0	0
GO:0051046	0	0	0	0	0	0	0	1	0
GO:0051049	0	0	0	0	0	0	0	0	0
GO:0051588	0	0	0	0	0	0	0	0	0
GO:0051780	0	0	0	0	0	0	0	0	0
GO:0051952	0	0	0	0	0	0	0	0	0
